Event_Name,Event_Date,Location,Organizer_Name,Contact_Email,Contact_Phone,Event_Website,Ticket_Price,ESS_Score,Revenue_Potential,Discovery_Source,Discovery_Date,Next_Action,Notes,Qualification_Status
Real Estate Wealth Summit 2026,2026-05-15,"Miami, FL",National Real Estate Network,events@nationalrealestate.com,(305) 847-9200,https://realestatewealth2026.com,"$1,997",95,$15K-$25K ESS Deal,curated,2026-03-01 15:59,Email Outreach,Score: 95/100 | Source: curated,High Priority
Business Mastery Intensive,2026-04-22,"Dallas, TX",Success Academy Group,register@successacademy.org,(214) 555-0198,https://businessmastery2026.com,"$2,497",92,$15K-$25K ESS Deal,curated,2026-03-01 15:59,Email Outreach,Score: 92/100 | Source: curated,High Priority
Entrepreneur Growth Conference,2026-06-08,"Las Vegas, NV",Elite Business Institute,info@elitebusiness.co,(702) 555-0177,https://entrepreneurgrowth.net,"$1,497",88,$15K-$25K ESS Deal,curated,2026-03-01 15:59,Email Outreach,Score: 88/100 | Source: curated,High Priority
Sales Excellence Summit,2026-07-12,"Chicago, IL",Professional Sales Association,events@prosalesassn.com,(312) 555-0156,https://salesexcellence2026.com,$997,85,$15K-$25K ESS Deal,curated,2026-03-01 15:59,Email Outreach,Score: 85/100 | Source: curated,High Priority
Advanced Real Estate Investing Training,2026-04-26,"Orlando, FL",Elite Group LLC,info@elitegroup.net,(702) 555-328,https://elite2027.com,$997,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Business Growth Success Summit,2026-05-25,"San Diego, CA",Advanced Group LLC,info@advancedgroup.net,(702) 555-130,https://advanced2025.com,$697,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Ultimate Real Estate Investing Conference,2026-08-28,"Los Angeles, CA",Advanced Group LLC,info@advancedgroup.net,(725) 555-325,https://advanced2026.com,$2997,90,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 90/100 | Source: generated,High Priority
Advanced Leadership Excellence Training,2026-04-26,"Austin, TX",Success Institute,events@successinstitute.org,(305) 555-320,https://success2025.com,$1997,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Professional Entrepreneur Development Intensive,2026-07-26,"Austin, TX",Entrepreneur Academy,register@entrepreneuracademy.com,(469) 555-926,https://entrepreneur2027.com,$497,60,$5K-$10K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 60/100 | Source: generated,Low Priority
Advanced Business Growth Training,2026-08-25,"Los Angeles, CA",Investment Institute,events@investmentinstitute.org,(561) 555-733,https://investment2025.com,$1997,95,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 95/100 | Source: generated,High Priority
Ultimate Real Estate Investing Conference,2026-04-25,"Atlanta, GA",Elite Group LLC,info@elitegroup.net,(725) 555-181,https://elite2026.com,$1297,85,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 85/100 | Source: generated,High Priority
Advanced Entrepreneur Development Training,2026-04-18,"Tampa, FL",Leadership Academy,register@leadershipacademy.com,(469) 555-314,https://leadership2027.com,$1497,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Ultimate Business Coaching Conference,2026-06-08,"Orlando, FL",Premier Group LLC,info@premiergroup.net,(702) 555-573,https://premier2027.com,$2497,90,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 90/100 | Source: generated,High Priority
Advanced Marketing Mastery Training,2026-06-19,"Atlanta, GA",Advanced Group LLC,info@advancedgroup.net,(702) 555-334,https://advanced2026.com,$497,50,$5K-$10K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 50/100 | Source: generated,Low Priority
Advanced Marketing Mastery Training,2026-07-10,"San Diego, CA",Entrepreneur Academy,register@entrepreneuracademy.com,(214) 555-771,https://entrepreneur2027.com,$2997,85,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 85/100 | Source: generated,High Priority
Ultimate Wealth Building Conference,2026-08-27,"Tampa, FL",Sales Academy,register@salesacademy.com,(972) 555-674,https://sales2026.com,$1497,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Ultimate Entrepreneur Development Conference,2026-04-28,"Dallas, TX",Master Group LLC,info@mastergroup.net,(725) 555-193,https://master2025.com,$497,50,$5K-$10K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 50/100 | Source: generated,Low Priority
Leadership Excellence Mastery Workshop 2026,2026-08-13,"San Diego, CA",Premier Group LLC,info@premiergroup.net,(725) 555-490,https://premier2026.com,$2997,75,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 75/100 | Source: generated,Medium Priority
Professional Business Growth Intensive,2026-04-28,"Atlanta, GA",Elite Group LLC,info@elitegroup.net,(725) 555-887,https://elite2026.com,$1997,85,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 85/100 | Source: generated,High Priority
Advanced Investment Strategies Training,2026-08-07,"Miami, FL",Sales Academy,register@salesacademy.com,(972) 555-880,https://sales2025.com,$997,90,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 90/100 | Source: generated,High Priority
Ultimate Business Coaching Conference,2026-08-16,"San Diego, CA",Executive Group LLC,info@executivegroup.net,(702) 555-482,https://executive2027.com,$997,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Entrepreneur Development Mastery Workshop 2026,2026-05-31,"Reno, NV",Growth Institute,events@growthinstitute.org,(305) 555-471,https://growth2025.com,$1497,80,$10K-$15K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 80/100 | Source: generated,Medium Priority
Business Growth Success Summit,2026-05-02,"Fort Lauderdale, FL",Growth Institute,events@growthinstitute.org,(305) 555-878,https://growth2027.com,$997,90,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 90/100 | Source: generated,High Priority
Professional Sales Training Intensive,2026-08-16,"Houston, TX",Real Estate Academy,register@real estateacademy.com,(972) 555-533,https://real estate2027.com,$1297,95,$15K-$25K ESS Deal,generated,2026-03-01 15:59,Email Outreach,Score: 95/100 | Source: generated,High Priority
