Event_Name,Event_Date,Location,Venue,Organizer_Name,Contact_Email,Contact_Phone,Event_URL,Ticket_Price,Expected_Attendance,ESS_Opportunity_Score,Revenue_Potential,Priority_Level,Discovery_Source,Discovery_Time,Next_Action,Call_Script_Notes,Email_Template_Tag
Business Excellence Seminar 2026,2026-07-16,Miami FL,Miami Convention Center,Investment Education Institute,contact@investmentedu.org,(866) 555-0188,https://investmenteducationinstitute.com/seminar2026,$697,1071,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:24,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Conference 2026,2026-07-25,Miami FL,Hilton Miami Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$497,1033,80,$15K-$20K ESS Deal,HIGH PRIORITY,advanced_finder,2026-03-01 16:10:24,Email + follow-up call within 48 hours,Strong ESS candidate - good fit indicators,business_template
Business Excellence Training 2026,2026-05-21,Miami FL,Hyatt Regency Miami,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,$497,856,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:24,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-07-19,Miami FL,Miami Convention Center,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/summit2026,$997,1175,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:24,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Training 2026,2026-08-14,Miami FL,Miami Convention Center,Success Strategies Group,register@successstrategies.com,(877) 555-0156,https://successstrategiesgroup.com/training2026,$997,683,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:24,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-07-03,Los Angeles CA,Hilton Los Downtown,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/summit2026,$697,569,95,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Training 2026,2026-07-13,Los Angeles CA,Los Conference Center,Professional Growth Association,events@progrowth.com,(855) 555-0145,https://professionalgrowthassociation.com/training2026,$997,1067,85,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Conference 2026,2026-08-15,Los Angeles CA,Los Conference Center,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$497,657,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Conference 2026,2026-07-01,New York NY,Marriott New,Elite Entrepreneur Network,info@eliteentrepreneur.net,(888) 555-0177,https://eliteentrepreneurnetwork.com/conference2026,$997,934,90,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Summit 2026,2026-08-03,New York NY,New Conference Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/summit2026,"$2,497",360,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
Business Excellence Conference 2026,2026-08-17,New York NY,New Conference Center,National Business Institute,events@nationalbusiness.org,(800) 555-0199,https://nationalbusinessinstitute.com/conference2026,"$2,497",350,100,$20K-$30K ESS Deal,IMMEDIATE CALL,advanced_finder,2026-03-01 16:10:25,Schedule call within 24 hours,"Perfect ESS fit - high ticket price, professional organizer",business_template
